entrez	symbol	length	CN10	CN11	CN12	CN13	CN14	CN1	CN15	CN16	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CP10	CP11	CP12	CP13	CP14	CP1	CP15	CP16	CP17	CP18	CP19	CP20	CP21	CP22	CP23	CP24	CP2	CP3	CP4	CP5	CP6	CP7	CP8	CP9
100287102	DDX11L1	1652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100422919	MIR1302-11	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79501	OR4F5	918	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
100133331	LOC100133331	12819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100132062	LOC100132062	8286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81399	OR4F16	2817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400728	FAM87B	1944	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
643837	LINC01128	9233	0	89	0	18	63	0	0	0	0	1	0	1	0	20	31	0	160	17	0	129	0	0	93	0	0	0	46	0	27	0	0	0	1	0	98	20	77	0	0	0
148398	SAMD11	2554	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0
339451	KLHL17	2564	0	33	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	25	0	1	0	0	0	57	0	0	53	0	58
84069	PLEKHN1	2436	0	0	0	0	0	27	0	0	0	79	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	172	0	1	0	0	82
9636	ISG15	666	754	179	180	441	136	59	488	0	34	0	16	51	0	76	119	1	371	261	84	275	36	1	119	133	176	7	158	1	74	392	246	486	6	339	211	111	0	172	35	15821
375790	AGRN	7394	10	17	5	26	12	77	5	25	4	1	11	15	5	2	4	0	0	9	5	0	0	0	0	0	0	0	4	0	2	0	0	13	0	0	7	0	23	4	10	5
254099	LINC01342	1618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406984	MIR200B	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406983	MIR200A	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
554210	MIR429	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
